n,graphType,laplacianEntropy,adjacencyEntropy,entropyRatio,eulerCharacteristic,torusLatticeLaplacianRatio
37,Cycle Graph,74.003514,18.154898,4.076229,0,
37,Complete Bipartite,2021.138203,107.904567,18.730794,-305,
37,Star Graph,133.603963,21.501114,6.213816,1,
37,Random Tree,76.617061,18.242607,4.199897,1,
37,Lattice,170.148331,36.607147,4.647954,-24,
38,Complete Graph,5114.446141,133.603963,38.280647,-665,
38,Path Graph,73.227828,17.753812,4.124626,1,
38,Cycle Graph,76.003332,18.557898,4.095471,0,
38,Complete Bipartite,2152.224536,111.888681,19.235409,-323,
38,Star Graph,138.228274,21.964356,6.293300,1,
38,Random Tree,82.652865,19.540304,4.229866,1,
38,Lattice,176.236677,37.641225,4.682012,-25,
39,Complete Graph,5429.398360,138.228274,39.278493,-702,
39,Path Graph,75.227806,18.387948,4.091148,1,
39,Cycle Graph,78.003163,19.140106,4.075378,0,
39,Complete Bipartite,2284.284994,115.795255,19.726931,-341,
39,Star Graph,142.878904,22.423587,6.371813,1,
39,Random Tree,82.257385,19.074014,4.312537,1,
39,Lattice,182.347050,39.125556,4.660561,-26,
40,Complete Graph,5754.651948,142.878904,40.276428,-740,
40,Path Graph,77.227787,18.738906,4.121254,1,
40,Cycle Graph,80.003007,20.002969,3.999557,0,
40,Complete Bipartite,2424.311706,119.829291,20.231378,-360,
40,Star Graph,147.555178,22.878935,6.449390,1,
40,Random Tree,87.040215,20.486066,4.248752,1,
40,Lattice,188.459032,40.113561,4.698138,-27,
41,Complete Graph,6090.258189,147.555178,41.274446,-779,
41,Path Graph,79.227769,19.368072,4.090638,1,
41,Cycle Graph,82.002862,20.125200,4.074636,0,
41,Complete Bipartite,2565.313817,123.788385,20.723381,-379,
41,Star Graph,152.256455,23.330522,6.526063,1,
41,Random Tree,88.825901,21.373583,4.155873,1,
41,Lattice,194.558811,41.696263,4.666097,-28,
42,Complete Graph,6436.267083,152.256455,42.272540,-819,
42,Path Graph,81.227752,19.723898,4.118240,1,
42,Cycle Graph,84.002727,20.532882,4.091132,0,
42,Complete Bipartite,2714.380972,127.869942,21.227670,-399,
42,Star Graph,156.982124,23.778463,6.601862,1,
42,Random Tree,91.248624,21.363636,4.271212,1,
42,Lattice,200.411994,42.649551,4.699041,-29,
43,Complete Graph,6792.727409,156.982124,43.270706,-860,
43,Path Graph,83.227736,20.348466,4.090123,1,
43,Cycle Graph,86.002602,21.110192,4.073985,0,
43,Complete Bipartite,2864.424679,131.878968,21.720102,-419,
43,Star Graph,161.731605,24.222868,6.676815,1,
43,Random Tree,92.078999,21.668103,4.249518,1,
43,Lattice,202.786604,43.398102,4.672707,-29,
44,Complete Graph,7159.686787,161.731605,44.268940,-902,
44,Path Graph,85.227722,20.708800,4.115532,1,
44,Cycle Graph,88.002485,21.949498,4.009316,0,
44,Complete Bipartite,3022.627571,136.005868,22.224244,-440,
44,Star Graph,166.504344,24.663839,6.750950,1,
44,Random Tree,96.825896,22.981756,4.213163,1,
44,Lattice,208.511155,44.909591,4.642909,-30,
45,Complete Graph,7537.191730,166.504344,45.267238,-945,
45,Path Graph,87.227708,21.329100,4.089610,1,
45,Cycle Graph,90.002375,22.095094,4.073410,0,
45,Complete Bipartite,3181.808066,140.062479,22.717062,-461,
45,Star Graph,171.299812,25.101474,6.824293,1,
45,Random Tree,98.765984,23.078615,4.279546,1,
45,Lattice,214.599995,46.401201,4.624880,-31,
46,Complete Graph,7925.287691,171.299812,46.265595,-989,
46,Path Graph,89.227695,21.693621,4.113085,1,
46,Cycle Graph,92.002273,22.506959,4.087726,0,
46,Complete Bipartite,3349.237651,144.232734,23.221065,-483,
46,Star Graph,176.117504,25.535868,6.896868,1,
46,Random Tree,100.301874,24.174153,4.149137,1,
46,Lattice,220.710878,47.894983,4.608225,-32,
47,Complete Graph,8324.019115,176.117504,47.264008,-1034,
47,Path Graph,91.227683,22.309948,4.089103,1,
47,Cycle Graph,94.002178,23.079915,4.072900,0,
47,Complete Bipartite,3517.645800,148.334793,23.714233,-505,
47,Star Graph,180.956937,25.967109,6.968698,1,
47,Random Tree,104.777044,22.771405,4.601255,1,
47,Lattice,226.823392,49.395081,4.592024,-33,
48,Complete Graph,8733.429481,180.956937,48.262474,-1080,
48,Path Graph,93.227672,22.678368,4.110863,1,
48,Cycle Graph,96.002088,23.898778,4.017029,0,
48,Complete Bipartite,3694.389077,152.546584,24.218104,-528,
48,Star Graph,185.817649,26.395282,7.039805,1,
48,Random Tree,102.996566,24.296101,4.239222,1,
48,Lattice,232.923706,50.915129,4.574744,-34,
49,Complete Graph,9153.561341,185.817649,49.260990,-1127,
49,Path Graph,95.227662,23.290987,4.088606,1,
49,Cycle Graph,98.002003,24.064663,4.072444,0,
49,Complete Bipartite,3872.111800,156.692136,24.711590,-551,
49,Star Graph,190.699195,26.820467,7.110211,1,
49,Random Tree,107.153047,25.838671,4.147003,1,
49,Lattice,238.777374,52.556280,4.543270,-35,
50,Complete Graph,9584.456363,190.699195,50.259553,-1175,
50,Path Graph,97.227652,23.663050,4.108838,1,
50,Cycle Graph,100.001924,24.480283,4.084999,0,
50,Complete Bipartite,4058.252140,160.943791,25.215338,-575,
50,Star Graph,195.601150,27.242742,7.179936,1,
50,Random Tree,109.960468,24.801088,4.433695,1,
50,Lattice,240.760558,51.204394,4.701951,-35,
51,Complete Graph,10026.155363,195.601150,51.258162,-1224,
51,Path Graph,99.227642,24.272197,4.088120,1,
51,Cycle Graph,102.001849,25.049345,4.072037,0,
51,Complete Bipartite,4245.372738,165.131042,25.709114,-599,
51,Star Graph,200.523107,27.662180,7.248999,1,
51,Random Tree,110.111563,27.088009,4.064956,1,
51,Lattice,246.849720,52.630440,4.690246,-36,
52,Complete Graph,10478.698342,200.523107,52.256812,-1274,
